,Participant,Block_num,X,Z,Target_Name
7015,BNC01,3,0.0,-4.1,Bank
7061,BNC01,3,0.4908844,1.037789,Bank
7115,BNC01,3,1.699364,6.127807,Bank
7181,BNC01,3,4.842094,10.37724,Bank
7229,BNC01,3,10.76532,11.83398,Bank
7282,BNC01,3,17.11709,11.6965,Bank
7397,BNC01,3,22.9242,10.37915,Bank
7561,BNC01,3,27.80313,8.50653,Bank
7862,BNC01,3,30.07262,3.608701,Bank
7940,BNC01,3,32.13234,8.375965,Bank
8022,BNC01,3,33.74283,13.88698,Bank
8148,BNC01,3,34.32779,20.02938,Bank
3897,BNC02,3,0.0,-4.1,Bank
3935,BNC02,3,0.7219623,-0.0767107,Bank
4031,BNC02,3,1.585294,3.578804,Bank
4209,BNC02,3,3.024821,6.704625,Bank
4258,BNC02,3,9.74614,9.074585,Bank
4322,BNC02,3,16.52164,11.28267,Bank
4363,BNC02,3,21.93659,10.34928,Bank
4468,BNC02,3,27.02967,9.104704,Bank
4513,BNC02,3,29.99232,12.98468,Bank
4595,BNC02,3,32.60944,16.82019,Bank
4700,BNC02,3,33.72005,21.3812,Bank
8759,BNC03,3,0.0,-4.1,Bank
8921,BNC03,3,-0.1435342,-8.849174,Bank
9351,BNC03,3,0.5290811,-14.04025,Bank
9405,BNC03,3,6.377116,-15.83236,Bank
9626,BNC03,3,12.37341,-17.2868,Bank
9676,BNC03,3,17.97989,-18.90705,Bank
9728,BNC03,3,23.27524,-20.68791,Bank
10094,BNC03,3,28.52706,-22.81184,Bank
10131,BNC03,3,29.11149,-15.92091,Bank
10191,BNC03,3,29.97733,-9.154642,Bank
10222,BNC03,3,30.98326,-2.533925,Bank
10251,BNC03,3,32.16676,4.086565,Bank
10284,BNC03,3,33.21772,10.51535,Bank
10432,BNC03,3,34.15162,16.80693,Bank
15438,BNC04,3,0.0,-4.1,Bank
15649,BNC04,3,0.3627799,2.016531,Bank
15857,BNC04,3,-0.1189725,8.354582,Bank
15930,BNC04,3,-0.8025694,14.32429,Bank
15995,BNC04,3,-0.3136556,20.59285,Bank
16059,BNC04,3,0.3661722,26.8977,Bank
16179,BNC04,3,0.9528745,33.14025,Bank
16369,BNC04,3,4.34799,38.28754,Bank
16474,BNC04,3,10.31635,40.05278,Bank
16562,BNC04,3,16.3265,39.9509,Bank
16627,BNC04,3,22.43133,39.68338,Bank
16773,BNC04,3,28.61195,39.04892,Bank
16957,BNC04,3,31.94157,34.1528,Bank
17130,BNC04,3,35.05638,28.81608,Bank
3373,BNC05,3,0.0,-4.1,Bank
3413,BNC05,3,-0.4129269,1.754272,Bank
3504,BNC05,3,0.137123,7.781836,Bank
3529,BNC05,3,6.383272,8.116217,Bank
3553,BNC05,3,12.55126,8.92538,Bank
3577,BNC05,3,18.72021,10.0329,Bank
3601,BNC05,3,24.95703,11.2096,Bank
3785,BNC05,3,31.16293,12.57581,Bank
3908,BNC05,3,31.57568,18.18502,Bank
6983,BNC07,3,0.0,-4.1,Bank
7070,BNC07,3,0.4189646,1.180655,Bank
7152,BNC07,3,1.547145,5.824726,Bank
7252,BNC07,3,6.201093,6.693461,Bank
7290,BNC07,3,11.50554,7.428126,Bank
7315,BNC07,3,16.7808,8.205282,Bank
7354,BNC07,3,22.49366,9.080355,Bank
7477,BNC07,3,28.19409,10.05403,Bank
7617,BNC07,3,30.61355,5.534236,Bank
7809,BNC07,3,31.87387,0.5253781,Bank
7987,BNC07,3,32.7886,6.082962,Bank
8020,BNC07,3,33.13025,11.68901,Bank
8060,BNC07,3,33.43311,16.78381,Bank
4376,BNC08,3,0.0,-4.1,Bank
4419,BNC08,3,0.9109677,1.221374,Bank
4529,BNC08,3,2.979574,6.078212,Bank
4611,BNC08,3,8.133949,7.041099,Bank
4664,BNC08,3,13.6762,8.253431,Bank
4710,BNC08,3,19.20894,9.314291,Bank
4759,BNC08,3,24.69432,10.02613,Bank
4837,BNC08,3,30.1965,10.68472,Bank
5125,BNC08,3,35.64676,11.36063,Bank
5233,BNC08,3,34.99606,17.08612,Bank
15676,BNC09,3,0.0,-4.1,Bank
15732,BNC09,3,0.4349523,1.584214,Bank
15832,BNC09,3,0.4153429,7.210661,Bank
16219,BNC09,3,0.1050879,12.67901,Bank
16307,BNC09,3,4.2777,11.80489,Bank
16395,BNC09,3,8.211039,10.9954,Bank
16495,BNC09,3,11.83903,10.06872,Bank
16575,BNC09,3,15.4642,9.926405,Bank
16639,BNC09,3,19.3395,10.12141,Bank
16708,BNC09,3,23.59883,10.48739,Bank
16776,BNC09,3,27.94003,10.98629,Bank
17084,BNC09,3,32.39098,11.59835,Bank
17199,BNC09,3,33.27275,17.64157,Bank
3994,BNC11,3,0.0,-4.1,Bank
4122,BNC11,3,0.5982455,2.379263,Bank
4272,BNC11,3,5.490801,6.941587,Bank
4346,BNC11,3,12.52622,8.531541,Bank
4426,BNC11,3,19.72209,9.155976,Bank
4586,BNC11,3,26.94595,9.130894,Bank
4711,BNC11,3,33.71757,10.93849,Bank
4892,BNC11,3,34.53906,17.65681,Bank
2882,BNC12,3,0.0,-4.1,Bank
2927,BNC12,3,0.8397133,1.541692,Bank
3050,BNC12,3,1.541124,7.491445,Bank
